regionName	Date	GovernmentResponseIndex
Kentucky	11-2021	44.270833333333336
Kentucky	12-2021	43.489583333333336
Louisiana	01-2020	0.0
Louisiana	02-2020	9.895833333333334
Louisiana	03-2020	40.625
Louisiana	04-2020	65.88541666666667
Louisiana	05-2020	66.92708333333334
Louisiana	06-2020	65.88541666666666
Louisiana	07-2020	66.66666666666666
Louisiana	08-2020	57.81249999999999
Louisiana	09-2020	55.729166666666664
Louisiana	10-2020	53.64583333333333
Louisiana	11-2020	51.5625
Louisiana	12-2020	52.8125
Louisiana	01-2021	60.572916666666664
Louisiana	02-2021	60.260416666666664
Louisiana	03-2021	58.697916666666664
Louisiana	04-2021	59.635416666666664
Louisiana	05-2021	57.03125
Louisiana	06-2021	56.25
Louisiana	07-2021	51.04166666666667
Louisiana	08-2021	55.989583333333336
Louisiana	09-2021	55.989583333333336
Louisiana	10-2021	57.03124999999999
Louisiana	11-2021	53.90624999999999
Louisiana	12-2021	54.166666666666664
Maine	01-2020	0.0
Maine	02-2020	13.020833333333334
Maine	03-2020	35.93750000000001
Maine	04-2020	72.39583333333333
Maine	05-2020	71.875
Maine	06-2020	73.43749999999999
Maine	07-2020	73.43749999999999
Maine	08-2020	69.27083333333333
Maine	09-2020	61.979166666666664
Maine	10-2020	58.854166666666664
Maine	11-2020	58.33333333333333
Maine	12-2020	57.8125
Maine	01-2021	60.3125
Maine	02-2021	55.9375
Maine	03-2021	58.4375
Maine	04-2021	59.375
Maine	05-2021	52.60416666666667
Maine	06-2021	45.833333333333336
Maine	07-2021	45.833333333333336
Maine	08-2021	44.79166666666667
Maine	09-2021	43.22916666666667
Maine	10-2021	43.22916666666667
Maine	11-2021	35.15625000000001
Maine	12-2021	38.28125000000001
Maryland	01-2020	0.0
Maryland	02-2020	9.895833333333334
Maryland	03-2020	45.3125
Maryland	04-2020	78.125
Maryland	05-2020	74.47916666666667
Maryland	06-2020	69.53125
Maryland	07-2020	62.760416666666664
Maryland	08-2020	61.197916666666664
Maryland	09-2020	57.55208333333333
Maryland	10-2020	58.59374999999999
Maryland	11-2020	65.10416666666667
Maryland	12-2020	67.60416666666667
Maryland	01-2021	73.07291666666667
Maryland	02-2021	65.20833333333334
Maryland	03-2021	61.302083333333336
Maryland	04-2021	63.020833333333336
Maryland	05-2021	53.90625
Maryland	06-2021	50.78125
Maryland	07-2021	50.78125
Maryland	08-2021	44.53125
Maryland	09-2021	41.40625
Maryland	10-2021	41.40625
Maryland	11-2021	38.28125
Maryland	12-2021	39.84375
Massachusetts	01-2020	0.0
Massachusetts	02-2020	9.895833333333334
Massachusetts	03-2020	35.9375
Massachusetts	04-2020	71.09375
Massachusetts	05-2020	71.875
Massachusetts	06-2020	65.10416666666666
Massachusetts	07-2020	64.0625
Massachusetts	08-2020	60.93749999999999
Massachusetts	09-2020	59.37499999999999
Massachusetts	10-2020	55.46874999999999
Massachusetts	11-2020	60.93749999999999
Massachusetts	12-2020	69.16666666666667
Massachusetts	01-2021	72.29166666666667
Massachusetts	02-2021	72.29166666666667
Massachusetts	03-2021	71.97916666666667
Massachusetts	04-2021	63.12500000000001
Massachusetts	05-2021	64.0625
Massachusetts	06-2021	49.21875
Massachusetts	07-2021	49.21875
Massachusetts	08-2021	46.09375
